PROGRAMME,2012,2013,2014,2015,2016,2017
prog A,410,440,455,455,475,455
prog A,415,440,460,460,480,460
prog A,425,450,465,465,485,465
prog A,430,455,470,470,490,466
prog A,440,460,475,480,500,471
prog A,445,465,480,485,505,476
prog A,455,470,485,490,515,486
prog A,460,475,495,505,520,487
prog A,465,485,505,515,525,493
prog A,470,490,510,520,530,497
prog A,485,495,515,530,540,508
prog A,490,505,520,535,545,515
prog A,495,510,535,540,555,518
prog A,515,515,550,545,565,520
prog A,535,520,555,545,570,531
prog A,565,525,580,550,575,537
prog A,575,590,595,550,575,514
prog B,285,230,185,215,285,305
prog B,290,235,200,220,285,310
prog B,300,265,220,225,285,314
prog B,300,270,250,250,315,319
prog B,310,275,265,265,330,329
prog B,310,285,275,282,340,348
prog B,310,295,285,290,390,371
prog B,310,298,290,305,425,375
prog B,315,300,305,315,430,397
prog B,315,300,310,315,435,398
prog B,320,305,315,320,440,415
prog B,330,305,320,320,440,421
prog B,340,330,320,335,450,435
prog B,340,330,325,340,455,437
prog B,340,330,330,360,470,443
prog B,350,330,330,365,475,444
